"","id","country","location","latitude","longitude","month","year","depth","bleaching_severity","coral_family","coral_species","water_temperature"
"1",7067,"France","Hermitage, Reunion",-21.22,55.22,4,2008,"6","No Bleaching","","",""
"2",7068,"France","Saint Gilles, Reunion",-21.05,55.23,7,2008,"6.5","No Bleaching","","",""
"3",7069,"France","Saint-Leu, Reunion",-21.16,55.28,2,2008,"6","No Bleaching","","",""
"4",4024,"France","SE France",43,5,8,1999,"","Severity Unknown","","Cladocora caespitosa, Oculina patagonensis","22-23.9 °C"
"5",7049,"Macau","Koh Tao, Surat Thani",10.12,99.81,7,2009,"4","No Bleaching","","","Air temp 28 Deg C, Water temp 29 Deg C"
"6",7274,"Mauritania","St. Brandons, Mauritius",-16.63333,59.63333,4,2010,"10 m","Severity Unknown","","acropora sp. , pocillopora sp.",""
"7",2664,"Mexico (Pacific)","Tijera and Mazunte, Oaxaca",16,-95,5,1998,"","High","","Pocillopora,Pavona and Porites",""
"8",2559,"Panama (Atlantic)","Cayos Zapatilla A, Archipielago de Bocas del Toro",9.2723,-82.0065,6,2002,"12m","Medium","Acroporidae, Poritidae","Acropora palmata, Porites astreoides","unusually warm"
"9",823,"St. Croix","Buck Island, US Virgin Islands",17.79,-64.63,NA,1998,"","Medium","","",""
"10",3975,"St. Croix","Cane Bay",17.684,-64.739,9,1987,"8-10m","Low","","Colpophyllia natans, Diploria labyrinthiformis, Montastraea annularis, Porites astreoides, Stephanocoenia intersepta,  Agaricia tenuifolia, Leptoseris cucullata, Millepora alcicornis, Acropora cervicornis, A . palmata, Porites porites",""
"11",491,"St. Croix","Long Reef, St Croix, US Virgin Islands",17.7,-64.9,7,2001,"","Low","Siderastridae","Siderastrea siderea, Palythoa",""
"12",29435,"St. Helena","Tuo village",-10.267,166.279,8,2011,"1.5","No Bleaching","","","Air temperature 30 deg C, water temperature 28 deg C "
"13",822,"St. Johnson & Thomas","Caret Bay Reef, St Thomas, US Virgin Islands",18.35,-65,NA,1998,"","Medium","","",""
"14",821,"St. Johnson & Thomas","Lameshur Reef, St Johns, US Virgin Islands",18.3,-64.7,NA,1998,"","Medium","","",""
"15",820,"St. Johnson & Thomas","Newfound Reef, St Johns, US Virgin Islands",18.31,-64.77,NA,1998,"","Medium","","",""
"16",824,"St. Johnson & Thomas","Saba Island, ST Thomas, US Virgin Islands",18.35,-65,NA,1998,"","Medium","Faviidae","Montastrea",""
"17",278,"United Kingdom","Blenheim Bank",-5.25,72.47,NA,1998,"","High","","",""
"18",2097,"United Kingdom","Chagos",-6.1,71.7333333333333,4,1998,"","High","","",""
